code_id,cat,sub_cat,name,sub_name,code,sub_code,code_dependency,sub_code_dependency,disabled,date_disabled
NULL,memberships,membership_type,Free Trial User - 1 Day,price,0,0,NULL,NULL,NULL,NULL
NULL,memberships,membership_type,Regular User - 15 Days,price,1,10,NULL,NULL,NULL,NULL
NULL,memberships,membership_type,Premium User - 15 Days,price,2,15,NULL,NULL,NULL,NULL
NULL,memberships,membership_type,Regular User - 1 Month,price,3,15,NULL,NULL,NULL,NULL
NULL,memberships,membership_type,Premium User - 1 Month,price,4,22.5,NULL,NULL,NULL,NULL
NULL,memberships,membership_type,Regular User - 2 Months,price,5,25,NULL,NULL,NULL,NULL
NULL,memberships,membership_type,Premium User - 2 Months,price,6,37.5,NULL,NULL,NULL,NULL
NULL,memberships,membership_type,Regular User - 3 Months,price,7,40,NULL,NULL,NULL,NULL
NULL,memberships,membership_type,Premium User - 3 Months,price,8,60,NULL,NULL,NULL,NULL
NULL,memberships,membership_type,Premium User - 6 Months,price,9,100,NULL,NULL,NULL,NULL
NULL,memberships,membership_type,Premium User - 1 Year,price,10,150,NULL,NULL,NULL,NULL
NULL,memberships,membership_type,Free Trial User - 1 Day,nid,0,4,NULL,NULL,NULL,NULL
NULL,memberships,membership_type,Regular User - 15 Days,nid,1,5,NULL,NULL,NULL,NULL
NULL,memberships,membership_type,Premium User - 15 Days,nid,2,6,NULL,NULL,NULL,NULL
NULL,memberships,membership_type,Regular User - 1 Month,nid,3,7,NULL,NULL,NULL,NULL
NULL,memberships,membership_type,Premium User - 1 Month,nid,4,8,NULL,NULL,NULL,NULL
NULL,memberships,membership_type,Regular User - 2 Months,nid,5,9,NULL,NULL,NULL,NULL
NULL,memberships,membership_type,Premium User - 2 Months,nid,6,10,NULL,NULL,NULL,NULL
NULL,memberships,membership_type,Regular User - 3 Months,nid,7,11,NULL,NULL,NULL,NULL
NULL,memberships,membership_type,Premium User - 3 Months,nid,8,12,NULL,NULL,NULL,NULL
NULL,memberships,membership_type,Premium User - 6 Months,nid,9,13,NULL,NULL,NULL,NULL
NULL,memberships,membership_type,Premium User - 1 Year,nid,10,14,NULL,NULL,NULL,NULL
