nid,vid,uid,title,log,timestamp,status,comment,promote,sticky
1,1,1,Free Trial User - 1 Day,,1328608968,1,1,1,0
2,2,1,Regular User - 15 Days,,1328609081,1,1,1,0
3,3,1,Premium User - 15 Days,,1328609140,1,1,1,0
4,4,1,Regular User - 1 Month,,1328609201,1,1,1,0
5,5,1,Premium User - 1 Month,,1328609231,1,1,1,0
6,6,1,Premium User - 1 Month,,1328609279,1,1,1,0
7,7,1,Regular User - 2 Months,,1328609312,1,1,1,0
8,8,1,Premium User - 2 Months,,1328609348,1,1,1,0
9,9,1,Regular User - 3 Months,,1328609410,1,1,1,0
10,10,1,Premium User - 3 Months,,1328609454,1,1,1,0
11,11,1,Premium User - 6 Months,,1328609491,1,1,1,0
12,12,1,Premium User - 1 Year,,1328609519,1,1,1,0
